Number of Population from Registration by Age Group Region and Province: 2012-2022,,,,,,,,,,,,,
Unit: person,,,,,,,,,,,,,
,,,,,,,,,,,,,
Region,Province,Age group,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Central Region,Nonthaburi Province,55  -  59,"71,064","72,261","75,970","80,755","84,408","88,458","91,560","95,207","97,478","98,460","100,159"
Central Region,Nonthaburi Province,60  -  64,"51,796","55,482","58,398","61,586","64,943","68,500","72,048","76,006","80,507","83,598","87,381"
Central Region,Nonthaburi Province,65  -  69,"33,763","36,608","39,951","43,432","46,773","50,508","53,780","56,636","59,542","62,389","65,908"
Central Region,Nonthaburi Province,70  -  74,"27,026","27,123","27,815","29,163","30,477","32,129","34,431","37,597","40,825","43,645","47,332"
Central Region,Nonthaburi Province,75  -  79,"19,910","21,584","22,511","22,719","23,415","23,757","24,288","24,874","25,621","26,608","28,598"
Central Region,Nonthaburi Province,80  -  84,"11,808","13,043","13,876","14,929","16,053","16,900","17,899","18,714","17,860","18,291","19,620"
Central Region,Nonthaburi Province,85  -  89,"5,763","6,847","7,403","7,976","8,608","9,269","9,722","10,293","9,692","10,329","12,386"
Central Region,Nonthaburi Province,90  -  94,"2,255","2,787","3,067","3,331","3,658","4,044","4,434","4,768","3,812","4,059","5,976"
Central Region,Nonthaburi Province,95  -  99,984,"1,142","1,233","1,328","1,390","1,508","1,702","1,891","1,170","1,218","2,492"
Central Region,Nonthaburi Province,100 and over,689,868,"1,016","1,166",346,514,670,640,481,542,"1,416"
Central Region,Nonthaburi Province,Unknown/lunar Calendar,12,8,8,6,2,2,2,2,2,2,2
Central Region,Nonthaburi Province,Population Registered in House Registration and Non  -  Thai nationalities,"2,606","2,667","5,260","4,336","3,934","4,250","4,528","4,738","4,974","5,218",
Central Region,Nonthaburi Province,Population Registered in Central House Registration,"9,053","9,671","8,145","10,907","11,539","12,546","13,334","13,582","16,702","17,541",
Central Region,Nonthaburi Province, Transferring population,"3,123","3,101","3,066","3,215","3,077","3,183","2,868","2,896",599,547,
Central Region,Pathum Thani Province,Total,"1,033,837","1,053,158","1,074,058","1,094,249","1,111,376","1,129,115","1,146,092","1,163,604","1,176,412","1,190,060","1,201,532"
